"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"YRW8HFX5","conferencePaper","2025","Wang, Y.; Liu, Q.; Wei, X.; Fan, M.","Facilitating Daily Practice in Intangible Cultural Heritage through Virtual Reality: A Case Study of Traditional Chinese Flower Arrangement","","","","10.1145/3706598.3713409","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005767503&doi=10.1145%2f3706598.3713409&partnerID=40&md5=7483d054a2ca8852b717c7e3b811ac0e","","2025","2025-07-05 00:08:33","2025-07-06 19:54:57","","","","","","","","","","","","","","","","","","Scopus","","","","","","","","SEM APLICACAO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Conference on Human Factors in Computing Systems - Proceedings","","","","","","","","","","","","","","",""
"8GV5JFXB","journalArticle","2025","Yezhova, O.; Zhao, J.; Pashkevych, K.","Exploring Design Aspects of Online Museums: From Cultural Heritage to Art, Science and Fashion","Preservation, Digital Technology and Culture","","","10.1515/pdtc-2024-0044","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003798886&doi=10.1515%2fpdtc-2024-0044&partnerID=40&md5=b482e4c29e7e957ce72109327a800458","","2025","2025-07-05 00:08:33","2025-07-17 18:29:28","","35-50","","1","54","","","","","","","","","","","","","Scopus","","","","","","C:\Users\jaber\Zotero\storage\2QLL7PTD\Yezhova et al. - 2025 - Exploring Design Aspects of Online Museums From Cultural Heritage to Art, Science and Fashion.pdf","","INCLUIR; COM_PDF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VR74K53W","journalArticle","2024","Zhang, C.; Duan, L.; Hu, B.; Xue, Y.; Cheng, Y.; Wang, Y.","Design and realization of the digital protection platform of traditional intangible cultural heritage based on virtual reality technology","Applied Mathematics and Nonlinear Sciences","","","10.2478/amns-2024-1225","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194392840&doi=10.2478%2famns-2024-1225&partnerID=40&md5=1067f75ab5dfbe402048ca241187950e","","2024","2025-07-05 00:08:33","2025-07-17 18:29:03","","","","1","9","","","","","","","","","","","","","Scopus","","","","","","C:\Users\jaber\Zotero\storage\IB2EQGM2\Zhang et al. - 2024 - Design and realization of the digital protection platform of traditional intangible cultural heritag.pdf","","INCLUIR; COM_PDF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CM5966EK","bookSection","2024","Hendawy, M.; Lazem, S.; Clarke, R.","Decentring in more-than-human design: A provocation on spatial justice and urban conflict in Palestine","Designing More-than-Human Smart Cities: Beyond Sustainability, Towards Cohabitation","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205878859&doi=10.1093%2f9780191980060.003.0012&partnerID=40&md5=42b3f6cb3b99837f177d78e42a38a91e","","2024","2025-07-05 00:08:33","2025-07-06 20:01:22","","205-222","","","","","","","","","","","","","","","","Scopus","","","","DOI: 10.1093/9780191980060.003.0012","","","","SEM APLICACAO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7NMHCVKV","bookSection","2024","Mauri, G.; Macauda, A.; Messina, S.; Panciroli, C.","An Augmented Environment for the Valorization of Heritage: An Experience Proposed by the MOdE","Springer Series in Design and Innovation","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211777038&doi=10.1007%2f978-3-031-73823-4_18&partnerID=40&md5=5b83f728e65a741e73cb03339609cba7","","2024","2025-07-05 00:08:34","2025-07-05 01:36:23","","178-191","","","36","","","","","","","","","","","","","Scopus","","","","DOI: 10.1007/978-3-031-73823-4_18","","","","SEM TEXTO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UXWESGPQ","conferencePaper","2025","Huang, C.; Song, K.; Xie, T.; Wan, H.K.","Enhancing Informal Learning at Cultural Heritage Sites Through Mobile Augmented Reality: A Case Study of Macao Mandarin’s House","","","","10.1007/978-3-031-93160-4_18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007824127&doi=10.1007%2f978-3-031-93160-4_18&partnerID=40&md5=00cae5a96536a100b854fe50d11a9837","","2025","2025-07-05 00:08:34","2025-07-07 22:24:59","","275-289","","","15800 LNCS","","","","","","","","","","","","","Scopus","","","","","","","","INCLUIR; NO_PDF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lecture Notes in Computer Science","","","","","","","","","","","","","","",""
"DIM3SPYM","conferencePaper","2024","Maurmo, D.; Ruga, T.; Zumpano, E.; Vocaturo, E.","Revolutionizing Structural Health Monitoring and Preserving Cultural Heritage via Digital Twins","","","","10.1109/MetroLivEnv60384.2024.10615291","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201205425&doi=10.1109%2fMetroLivEnv60384.2024.10615291&partnerID=40&md5=874310e458cee49d119d428d302d988c","","2024","2025-07-05 00:08:34","2025-07-05 19:34:16","","92-97","","","","","","","","","","","","","","","","Scopus","","","","","","","","IRRELEVANTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 IEEE International Workshop on Metrology for Living Environment, MetroLivEnv 2024 - Proceedings","","","","","","","","","","","","","","",""
"2TCMZ58X","conferencePaper","2024","","2024 IEEE International Workshop on Metrology for Living Environment, MetroLivEnv 2024 - Proceedings","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201206599&partnerID=40&md5=cc193d127e635395827e01fa7db75ee7","","2024","2025-07-05 00:08:34","2025-07-05 01:19:16","","","","","","","","","","","","","","","","","","Scopus","","","","","","","","SEM TEXTO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 IEEE International Workshop on Metrology for Living Environment, MetroLivEnv 2024 - Proceedings","","","","","","","","","","","","","","",""
"RUZ7DPLD","conferencePaper","2024","Liestøl, G.; Ledas, Š.; Ledas, Ž.; Cruz, J.; Carla, T.; Antunes, V.","Inside Out – Outside In: Exploring Indoor–Outdoor Indirect Augmented Reality Positioning in Cultural Heritage","","","","10.1007/978-3-031-50559-1_13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184116345&doi=10.1007%2f978-3-031-50559-1_13&partnerID=40&md5=cd46fff32f425c3ac911d2ca8ac33e0a","","2024","2025-07-05 00:08:34","2025-07-07 22:27:42","","161-172","","","","","","","","","","","","","","","","Scopus","","","","","","","","INCLUIR; NO_PDF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Springer Proceedings in Business and Economics","","","","","","","","","","","","","","",""
"K765M82N","bookSection","2025","Rivera-Carlisle, J.; Eccles, K.","OPEN CABINET: Critically contextualising contested heritage through augmented reality","Mobile Heritage: Practices, Interventions, Politics","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002855245&doi=10.4324%2f9781003400288-5&partnerID=40&md5=c83c956cc0e32ee492eedffe7cc7a703","","2025","2025-07-05 00:08:34","2025-07-07 22:28:54","","79-97","","","","","","","","","","","","","","","","Scopus","","","","DOI: 10.4324/9781003400288-5","","","","INCLUIR; NO_PDF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BE23HGLD","journalArticle","2025","Gaffney, C.; Croucher, K.; Bates, C.R.; Booker, O.; Dunn, R.; Evans, A.; Ichumbaki, E.B.; Moore, J.; Ogden, J.; Ritchings, J.; Simpson, S.; Sparrow, T.; Walker, A.; Wilson, A.S.","Digital Twins at the City and Town Scale: Europe and Beyond","Internet Archaeology","","","10.11141/ia.70.5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002031090&doi=10.11141%2fia.70.5&partnerID=40&md5=ecd185174fb25baa81d119553ea677f5","","2025","2025-07-05 00:08:34","2025-07-06 19:58:32","","","","70","","","","","","","","","","","","","","Scopus","","","","","","","","SEM APLICACAO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E83UB62D","bookSection","2024","Crognale, M.; De Iuliis, M.; Gattulli, V.","A Framework for the Definition of Built Heritage Digital Twins","Handbook of Digital Twins","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195540122&doi=10.1201%2f9781003425724-45&partnerID=40&md5=5457e568390e229f9b83cbf233dc432c","","2024","2025-07-05 00:08:35","2025-07-05 01:25:40","","647-661","","","","","","","","","","","","","","","","Scopus","","","","DOI: 10.1201/9781003425724-45","","","","SEM TEXTO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8KX2UZ8C","conferencePaper","2025","Afendi bin Abdul Ghani, M.S.; Kiffli, S.B.; Kuan, T.H.; Shamsuddin, S.N.B.W.; Rahim, N.B.","Cultural Heritage in The Digital Age: Evaluating User Experience in Virtual Reality Cultural Heritage Learning Application","","","","10.23919/ICACT63878.2025.10936756.0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002274097&doi=10.23919%2fICACT63878.2025.10936756.0&partnerID=40&md5=3812d3088c8889c879844f2edef41887","","2025","2025-07-05 00:08:35","2025-07-07 22:22:01","","343-350","","","","","","","","","","","","","","","","Scopus","","","","","","","","INCLUIR; NO_PDF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","International Conference on Advanced Communication Technology, ICACT","","","","","","","","","","","","","","",""
"XAN4YFPC","journalArticle","2024","Kotsopoulos, K.I.; Chourdaki, P.; Tsolis, D.; Antoniadis, R.; Pavlidis, G.; Assimakopoulos, N.","An authoring platform for developing smart apps which elevate cultural heritage experiences: A system dynamics approach in gamification","Journal of Ambient Intelligence and Humanized Computing","","","10.1007/s12652-019-01505-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073925242&doi=10.1007%2fs12652-019-01505-w&partnerID=40&md5=6ddd109beb8b91391f9c9391186d9cbf","","2024","2025-07-05 00:08:35","2025-07-06 20:39:59","","1679-1695","","2","15","","","","","","","","","","","","","Scopus","","","","","","","","IRRELEVANTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GRUWQG4B","conferencePaper","2024","Chen, J.; Xu, G.; Lu, L.","The Protection of Historical Sites along the Grand Canal Based on 3D Digital Imaging Technique","","","","10.1109/ISCIPT61983.2024.10673266","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205541090&doi=10.1109%2fISCIPT61983.2024.10673266&partnerID=40&md5=849afabf4b943e6d0981f899c0895f9e","","2024","2025-07-05 00:08:35","2025-07-07 22:31:41","","682-685","","","","","","","","","","","","","","","","Scopus","","","","","","","","INCLUIR; NO_PDF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 9th International Symposium on Computer and Information Processing Technology, ISCIPT 2024","","","","","","","","","","","","","","",""
"2CDTJCP7","journalArticle","2024","Hong, M.; An, S.; Akerkar, R.; Camacho, D.; Jung, J.J.","Cross-cultural contextualisation for recommender systems","Journal of Ambient Intelligence and Humanized Computing","","","10.1007/s12652-019-01479-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074000264&doi=10.1007%2fs12652-019-01479-9&partnerID=40&md5=fc6e99766496967381f812ddf24bb66a","","2024","2025-07-05 00:08:35","2025-07-06 20:03:13","","1659-1670","","2","15","","","","","","","","","","","","","Scopus","","","","","","","","IRRELEVANTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5SDQHRZZ","journalArticle","2025","Malliaris, M.","Practical Heritage Conservation in Cities in North Rhine-Westphalia: Legal Framework and a Practical Example from the Church Square of St Stephanus in Beckum, District of Warendorf (Westphalia)","Internet Archaeology","","","10.11141/ia.70.8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002008943&doi=10.11141%2fia.70.8&partnerID=40&md5=896ce59c1d9d545dbf9fb34d6e699fab","","2025","2025-07-05 00:08:35","2025-07-05 19:38:20","","","","70","","","","","","","","","","","","","","Scopus","","","","","","","","SEM APLICACAO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JQDMGTPL","conferencePaper","2025","Mendes, I.; Monteiro, J.; Barata, J.","Design Principles for Food Heritage Digital Twins","","","","10.1007/978-3-031-87880-0_10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008759374&doi=10.1007%2f978-3-031-87880-0_10&partnerID=40&md5=38b230f11ef318a24bd3a6b122083651","","2025","2025-07-05 00:08:35","2025-07-07 22:23:39","","189-210","","","77","","","","","","","","","","","","","Scopus","","","","","","","","INCLUIR; NO_PDF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lecture Notes in Information Systems and Organisation","","","","","","","","","","","","","","",""
"9VEPMXKP","bookSection","2024","Varol, F.; Yalcin, E.; Temizel, G.; Öksüz, M.","Industry 4.0 in tourism and cultural heritage and impacts on tourist behavior","Handbook of Tourism and Consumer Behavior","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215229941&doi=10.4337%2f9781035309801.00010&partnerID=40&md5=7e953a1720f308060fbc01b8ff4f030d","","2024","2025-07-05 00:08:35","2025-07-07 22:27:11","","21-37","","","","","","","","","","","","","","","","Scopus","","","","DOI: 10.4337/9781035309801.00010","","","","INCLUIR; NO_PDF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44TVQBJ3","journalArticle","2025","Mosbeh, R.","Factors influencing success of virtual reality in Tunisia’s cultural heritage tourism sites: a UTAUT2 approach extension","Virtual Reality","","","10.1007/s10055-025-01101-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217768965&doi=10.1007%2fs10055-025-01101-8&partnerID=40&md5=5205b613e4bbc4b0ddf95278ae933bfb","","2025","2025-07-05 00:08:35","2025-07-17 18:29:30","","","","1","29","","","","","","","","","","","","","Scopus","","","","","","C:\Users\jaber\Zotero\storage\C38XU8PG\Mosbeh - 2025 - Factors influencing success of virtual reality in Tunisia’s cultural heritage tourism sites a UTAUT.pdf","","INCLUIR; COM_PDF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YY246D5V","conferencePaper","2025","Jangra, S.; Singh, G.; Mantri, A.","Impact of Virtual Reality on Cultural Heritages: Development of Mobile VR Tour of the Museum Site of Chandigarh, India","","","","10.1007/978-3-031-83790-6_20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000955562&doi=10.1007%2f978-3-031-83790-6_20&partnerID=40&md5=dbbaa20588d21f27f80e369ecad038c0","","2025","2025-07-05 00:08:36","2025-07-07 22:26:26","","315-327","","","2334 CCIS","","","","","","","","","","","","","Scopus","","","","","","","","INCLUIR; NO_PDF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Communications in Computer and Information Science","","","","","","","","","","","","","","",""
"FM8X5XVM","journalArticle","2024","Shawarangkoon, S.; Kucharoenthavorn, A.; Wannapiroon, N.; Chawarangkoon, C.; Linthaluek, S.; Wannapiroon, P.","Immersive Living Museum with Augmented Reality Technology, integrated Traditional Art and Digital Art to Enhance Historical Knowledge and Learning Attraction","International Journal of Information and Education Technology","","","10.18178/ijiet.2024.14.11.2194","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210560583&doi=10.18178%2fijiet.2024.14.11.2194&partnerID=40&md5=685df00d5b84fc4a5a43d96f86fd0b5d","","2024","2025-07-05 00:08:36","2025-07-17 18:29:45","","1638-1651","","11","14","","","","","","","","","","","","","Scopus","","","","","","C:\Users\jaber\Zotero\storage\T4KAQ9DC\Shawarangkoon et al. - 2024 - Immersive Living Museum with Augmented Reality Technology, integrated Traditional Art and Digital Ar.pdf","","INCLUIR; NO_PDF; COM_PDF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W246ZSFW","conferencePaper","2024","Widodo, F.A.; Aditya, A.; Kurniawan, R.","Enhancing Tangible Cultural Heritage Preservation through Virtual Reality: A Case Study of Watu Gong Sites in Indonesia","","","","10.1109/EECSI63442.2024.10776179","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214662355&doi=10.1109%2fEECSI63442.2024.10776179&partnerID=40&md5=456feb54fbe7ee4b19a36300608630b0","","2024","2025-07-05 00:08:36","2025-07-07 22:25:08","","729-734","","","","","","","","","","","","","","","","Scopus","","","","","","","","INCLUIR; NO_PDF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","International Conference on Electrical Engineering, Computer Science and Informatics (EECSI)","","","","","","","","","","","","","","",""
"S32W4EKA","conferencePaper","2025","Chung, K.L.","Harmonizing Tradition and Innovation: Advances in Chinese-Culture-Based Antennas and Sensors","","","","10.1109/WCCCT65447.2025.11027975","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009110718&doi=10.1109%2fWCCCT65447.2025.11027975&partnerID=40&md5=5383ecb356c2d88fb31bd4d2d95ed0b5","","2025","2025-07-05 00:08:36","2025-07-06 19:52:35","","246-250","","","","","","","","","","","","","","","","Scopus","","","","","","","","IRRELEVANTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8th World Conference on Computing and Communication Technologies, WCCCT 2025","","","","","","","","","","","","","","",""
"HAEENRU5","conferencePaper","2024","Themistocleous, K.","The monitoring of cultural heritage sites using digital twins","","","","10.1117/12.3031733","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212850878&doi=10.1117%2f12.3031733&partnerID=40&md5=eb6697f4329841c93d6876e9b1acad7a","","2024","2025-07-05 00:08:36","2025-07-07 22:31:24","","","","","13197","","","","","","","","","","","","","Scopus","","","","","","","","INCLUIR; NO_PDF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings of SPIE - The International Society for Optical Engineering","","","","","","","","","","","","","","",""
"83RD4VQG","journalArticle","2024","Amelio, A.; Zarri, G.P.","Cultural heritage digital twin: modeling and representing the visual narrative in Leonardo Da Vinci’s Mona Lisa","Neural Computing and Applications","","","10.1007/s00521-024-10010-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195374002&doi=10.1007%2fs00521-024-10010-x&partnerID=40&md5=58345dca0e5d949cdc6c21e9ee9d0835","","2024","2025-07-05 00:08:36","2025-07-17 18:28:55","","11859-11876","","20","36","","","","","","","","","","","","","Scopus","","","","","","C:\Users\jaber\Zotero\storage\ZVRZKB29\Amelio e Zarri - 2024 - Cultural heritage digital twin modeling and representing the visual narrative in Leonardo Da Vinci’.pdf","","INCLUIR; COM_PDF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
