Tipo de Tecnologia,Frequência
"Realidade Virtual, Inteligência Artificial",1
"Banco de dados, Tecnologia da Informação, Arqueologia Digital.",1
Internet of Things (IoT),1
"Microservices Architecture, Deep-Learning",1
"Realidade Virtual, Realidade Aumentada, Inteligência Artificial, Tecnologia de Imersão.",1
"Internet das Coisas (IoT), Design de Interação.",1
"Processamento de imagem, Inteligência Artificial",1
"Visão Computacional, Processamento de Linguagem Natural, Realidade Aumentada.",1
"Plataforma digital, Realidade Aumentada, Interoperabilidade.",1
"Inteligência Artificial, Internet das Coisas",1
"Blockchain, Internet of Things",1
"IoT, Ontologia, Semântica, Interoperabilidade.",1
"Realidade Aumentada, Realidade Virtual, Aplicativos móveis, Sistemas de informação, Interfaces interativas.",1
"Blockchain, Cultural Heritage Preservation",1
"Spatial Information Technology, Internet of Things",1
"IA, Metaverse",1
"CiteSpace, VOSviewer, Bibliometrix",1
Gamificação,1
Algoritmo de Agrupamento Hierárquico.,1
"Internet das Coisas (IoT), Representação Semântica.",1
"Realidade Aumentada, Realidade Virtual, Digitalização 3D, Machine Learning, Visão Computacional, Internet das Coisas (IoT), Sistemas de Informação Geográfica (GIS), Reconhecimento de Padrões.",1
"Design centrado no usuário, Metodologia de desenvolvimento de software ágil.",1
"IA, Realidade Aumentada",1
Não há menção a nenhuma tecnologia específica no título do artigo fornecido.,1
"IoT, Sensores",1
"Computação em nuvem, Arquitetura orientada a serviços.",1
"Digitalização 3D, Machine Learning, Visão Computacional, Modelagem de Informação da Construção (BIM), Realidade Virtual.",1
"Tecnologias principais: Realidade Aumentada, Aplicativos móveis, Plataformas de mídia social, Tecnologias de informação e comunicação.",1
Digitalização de patrimônio cultural.,1
