Tecnologia,Impacto_Institucional,Impacto_Visitante,Impacto_Cultural
"Gestão de instalações, Tecnologia da informação, Sistemas de informação, Tecnologia de sensoriamento remoto.",1,0,0
"Graph Neural Network, Realidade Virtual",0,0,1
HBIM (Heritage Building Information Modeling),1,1,0
HBIM (Heritage Building Information Modelling),1,1,0
"HBIM, Realidade Aumentada, Realidade Virtual",0,1,1
IA,0,1,1
"IA, Metaverse",0,0,1
"IA, Processamento de Linguagem Natural, Reconhecimento de Voz, Realidade Aumentada",0,1,0
"IA, Realidade Aumentada",1,0,0
"IA, Realidade Aumentada, Big Data, Machine Learning, Geolocalização.",1,0,1
ICT (Tecnologia da Informação e Comunicação),0,0,1
Inteligência Artificial (IA),0,1,1
"Inteligência Artificial, Acessibilidade, Design centrado no ser humano.",0,0,1
"Inteligência Artificial, Internet das Coisas",1,0,1
"Inteligência Artificial, Internet das Coisas (IoT)",1,0,1
"Inteligência Artificial, Internet das Coisas (IoT), Realidade Aumentada, Big Data, Machine Learning.",0,0,1
"Inteligência Artificial, Internet das Coisas (IoT), Realidade Aumentada, Sistemas de Informação Geográfica (GIS)",0,0,1
"Inteligência Artificial, Realidade Aumentada, Aplicativos móveis.",0,1,1
"Inteligência Artificial, Realidade Aumentada, Internet das Coisas (IoT)",0,1,0
"Intelligent User Interfaces, IA, Realidade Aumentada",0,1,1
Internet das Coisas (IoT),0,0,3
"Internet das Coisas (IoT), Design de Interação.",0,1,0
"Internet das Coisas (IoT), Representação Semântica.",0,0,1
Internet of Things (IoT),0,1,0
IoT,0,0,3
"IoT, Energias Renováveis, Sistemas de Gestão de Energia, Smart Grids, BIM (Building Information Modeling)",0,0,1
"IoT, Gerenciamento de Informações de Imagem.",0,0,0
"IoT, Ontologia, Semântica, Interoperabilidade.",0,0,1
"IoT, Realidade Aumentada",0,0,0
"IoT, Realidade Aumentada, IA",1,1,3
"IoT, Realidade Aumentada, IA, Big Data, Machine Learning.",0,0,1
"IoT, Realidade Aumentada, IA, Smart Cities, Big Data, Machine Learning.",0,0,1
"IoT, Sensores",0,0,1
"Linked Data, Smart Objects, Gamification",0,1,0
"Mapeamento digital, Tecnologias de imagem 3D.",0,0,0
"Metaverso, Realidade Virtual, Realidade Aumentada, Inteligência Artificial.",0,1,0
"Microservices Architecture, Deep-Learning",0,0,1
"Mineração de dados digitais, Tecnologia de fusão de informações.",0,0,0
"Mobile Applications, IoT, Artificial Intelligence",0,1,0
"Modelagem 3D, Realidade Aumentada",1,0,0
"Modelagem 3D, Realidade Virtual",0,0,1
"Modelos semânticos, Serviços, Conservação, Restauração, Patrimônio Cultural.",0,0,1
NFTs,0,0,1
Não há menção a nenhuma tecnologia específica no título do artigo fornecido.,0,0,1
Não há uma tecnologia principal identificada no título do artigo fornecido.,0,0,0
"Open-Access Data, Smart Heritage",0,0,0
"Plataforma digital, Realidade Aumentada, Interoperabilidade.",0,0,1
"Processamento de imagem, Inteligência Artificial",0,0,1
"Processamento de nuvem de pontos 3D, Modelagem inteligente, Conservação de patrimônio cultural.",0,0,1
Realidade Aumentada,0,3,2
"Realidade Aumentada, Aplicativos móveis, Tecnologia de localização, Banco de dados, Geolocalização.",0,1,1
"Realidade Aumentada, Arquitetura Islâmica, Egito.",0,1,1
"Realidade Aumentada, Design de Interfaces, Museus Online, Experiência do Usuário.",0,1,0
"Realidade Aumentada, Gamificação, Aplicativos baseados em localização.",0,1,1
"Realidade Aumentada, Geolocalização, Aplicativos móveis, Sistemas de Informação Geográfica (SIG)",0,1,1
"Realidade Aumentada, Internet das Coisas (IoT), Inteligência Artificial (IA)",0,2,4
"Realidade Aumentada, IoT",0,0,1
"Realidade Aumentada, Mobile",0,1,0
"Realidade Aumentada, Modelagem 3D, Digital Twin",0,0,0
"Realidade Aumentada, Modelagem 3D, Sistemas de Informação Geográfica (GIS)",0,0,1
"Realidade Aumentada, Modelagem 3D, Visualização de Dados.",0,0,1
"Realidade Aumentada, Plataforma Mojangki.id.",0,0,1
"Realidade Aumentada, Plataforma de Gerenciamento.",1,0,1
"Realidade Aumentada, Realidade Mista",0,0,1
"Realidade Aumentada, Realidade Mista, Semântica, Interação Humano-Computador.",0,1,0
"Realidade Aumentada, Realidade Virtual, Aplicativos móveis, Sistemas de informação, Interfaces interativas.",0,1,0
"Realidade Aumentada, Realidade Virtual, Digitalização 3D, Machine Learning, Visão Computacional, Internet das Coisas (IoT), Sistemas de Informação Geográfica (GIS), Reconhecimento de Padrões.",0,0,1
"Realidade Aumentada, Realidade Virtual, Internet das Coisas (IoT), Inteligência Artificial (IA)",0,2,2
"Realidade Aumentada, Sistema Interativo Digital, Tecnologia de Realidade Virtual",0,0,0
"Realidade Aumentada, Tecnologia Digital.",0,1,0
"Realidade Aumentada, Tecnologia da Informação, Tecnologia Móvel.",0,1,0
"Realidade Aumentada, Web-based",0,1,1
Realidade Virtual,0,3,6
"Realidade Virtual, Inteligência Artificial",0,1,0
"Realidade Virtual, Interação Natural",0,1,0
"Realidade Virtual, Internet, Plataformas de Videoconferência.",0,0,0
"Realidade Virtual, Modelagem de Informação da Construção (BIM), Turismo Virtual interativo.",0,1,0
"Realidade Virtual, Realidade Aumentada",0,1,2
"Realidade Virtual, Realidade Aumentada, Inteligência Artificial, Tecnologia de Imersão.",0,1,1
"Realidade Virtual, Realidade Aumentada, Modelagem 3D, Digitalização 3D, Visualização 3D.",0,0,1
"Realidade Virtual, Robótica, Redes Sociais.",0,0,1
"Realidade Virtual, Turismo Cultural, UTAUT2.",0,1,1
"Reconstrução 3D, Visualização móvel, Gêmeos digitais.",0,0,0
Recuperação de Informações sobre Patrimônio Cultural.,0,0,1
"Sensores, Ontologia, Patrimônio Cultural.",1,0,1
"Sensores, Redes de Sensores sem Fio, Análise de Dados, Machine Learning, Inteligência Artificial.",1,0,1
Sensoriamento de temperatura e umidade sem bateria.,0,0,0
"Smart Heritage, Local Government, Interdisciplinary Relationships",1,0,1
Smart Tourism Conceptual Model,1,0,0
"Socio-Technical System Framework, Smart Heritage, Historical and Cultural Villages.",0,0,1
"Spatial Information Technology, Internet of Things",1,0,1
"Tecnologias principais: IoT, Realidade Aumentada, IA.",0,1,0
"Tecnologias principais: Realidade Aumentada, Aplicativos móveis, Plataformas de mídia social, Tecnologias de informação e comunicação.",0,0,0
"Telepresença, MQTT Protocol",0,0,0
"Turismo rural, Desenvolvimento de cidades características, Influência em áreas rurais.",0,0,0
"Visualização de dados, Tecnologia de Exibição, Arte Digital",0,0,0
"Visão Computacional, Machine Learning, Processamento de Linguagem Natural.",0,0,0
"Visão Computacional, Processamento de Linguagem Natural, Realidade Aumentada.",0,1,1
"Web 1.0, Web 4.0, IoT, Realidade Aumentada, IA",0,0,1
"Web of Science, Scopus, Fourth Industrial Revolution",0,0,0
Web-Based Platform,0,0,0
Web-GIS,1,0,1
Wi-Fi Probes,0,0,0
