Temática,Título,Resultado_central,Tecnologia,País/Cidade,Ano
educação,The Heritage Building Information Modeling Methodology for Structural Diagnosis: An Integrated System of Digital Models for the Baptistery of San Giovanni in Pisa,"O artigo apresenta uma metodologia de Modelagem de Informação de Construção (BIM) para diagnóstico estrutural do Batistério de San Giovanni em Pisa, integrando sistemas de modelos digitais para facilitar a análise e preservação do patrimônio histórico.","BIM, Realidade Aumentada, Modelagem 3D","Pisa, Itália.",2024
educação,A Study on the Construction and Utilization of Korean Prehistoric Remains Database,"O artigo apresenta a criação de um banco de dados de restos pré-históricos coreanos, facilitando a pesquisa e preservação desses vestígios arqueológicos.","Banco de dados, Tecnologia da Informação, Arqueologia Digital.",Coreia do Sul,2022
educação,Historical sentient – Building information model: A digital twin for the management of museum collections in historical architectures,"O artigo propõe a utilização de um modelo de informação de construção (BIM) como um ""gêmeo digital"" para a gestão de coleções de museus em arquiteturas históricas, permitindo uma melhor preservação e documentação das peças.","Building Information Model (BIM), Digital Twin",Global,2020
educação,Urban Heritage Facility Management: A Scoping Review,O artigo destaca a importância da gestão de instalações do patrimônio urbano para a preservação e valorização desses espaços históricos.,"Gestão de instalações, Tecnologia da informação, Sistemas de informação, Tecnologia de sensoriamento remoto.",Global,2021
educação,A Smart Heritage System to Re-Generate New Zealand’s 19th Century Timber Churches,"O artigo propõe um sistema inteligente para regenerar igrejas de madeira do século XIX na Nova Zelândia, preservando seu patrimônio histórico e cultural.","Realidade Aumentada, Modelagem 3D, Sistemas de Informação Geográfica (GIS)",Nova Zelândia,2021
educação,Integrating User-Centered Design With the Agile Software Development Methodology for a Cultural Heritage Information System,"O principal resultado do artigo foi a integração bem-sucedida do design centrado no usuário com a metodologia ágil de desenvolvimento de software, resultando em um sistema de informação de patrimônio cultural eficaz e de alta qualidade.","Design centrado no usuário, Metodologia de desenvolvimento de software ágil.",Global,2020
educação,Varanasi—The Making of a Smart Heritage City,O artigo destaca o sucesso de Varanasi em se tornar uma cidade inteligente e preservar seu patrimônio cultural.,"Inteligência Artificial, Internet das Coisas (IoT), Realidade Aumentada, Sistemas de Informação Geográfica (GIS)","Varanasi, Índia.",2024
educação,"The Use of Interactive Virtual BIM to Boost Virtual Tourism in Heritage Sites, Historic Jeddah","O uso de BIM interativo virtual aumentou a experiência do turismo virtual em locais históricos de Jeddah, permitindo aos visitantes explorar e interagir com os locais de forma mais imersiva.","Realidade Virtual, Modelagem de Informação da Construção (BIM), Turismo Virtual interativo.","Historic Jeddah, na Arábia Saudita.",2021
educação,"Design, Content Validity, and Inter-Observer Reliability of the ‘Digitization of Cultural Heritage, Identities, and Education’ (DICHIE) Instrument","O artigo apresenta um instrumento validado para avaliar a digitalização do patrimônio cultural, identidades e educação, com alta confiabilidade entre observadores.",Digitalização de patrimônio cultural.,Global,2023
educação,The Effectiveness of Digital Technologies Used for the Visitor’s Experience in Digital Museums. A Systematic Literature Review From the Last Two Decades,"O artigo destaca que as tecnologias digitais utilizadas em museus digitais têm sido eficazes em melhorar a experiência dos visitantes, proporcionando interatividade, personalização e acesso a informações adicionais.","Realidade Aumentada, Realidade Virtual, Aplicativos móveis, Sistemas de informação, Interfaces interativas.",Global,2022
tecnologia,"Unpacking the ‘15-Minute City’ via 6G, IoT, and Digital Twins: Towards a New Narrative for Increasing Urban Efficiency, Resilience, and Sustainability","O artigo propõe a integração de tecnologias como 6G, IoT e Digital Twins para promover eficiência, resiliência e sustentabilidade nas cidades, seguindo o conceito da 'cidade dos 15 minutos'.","6G, IoT, Digital Twins",Global,2022
tecnologia,Digital Transmission of Intangible Cultural Heritage Based on Empirical Modal Analysis in a Multicultural Perspective,"O artigo propõe uma abordagem inovadora para a transmissão digital do patrimônio cultural imaterial, utilizando a Análise Modal Empírica.","Análise Modal Empírica, Transmissão Digital, Patrimônio Cultural Intangível.",Global,2023
tecnologia,Smart Heritage for Urban Sustainability: A Review of Current Definitions and Future Developments,O artigo destaca a importância da integração de tecnologias inteligentes no patrimônio cultural para promover a sustentabilidade urbana.,"IoT, Realidade Aumentada, IA, Smart Cities, Big Data, Machine Learning.",Global,2022
tecnologia,Cultural Heritage Management From Traditional Methods to Digital Systems: A Review From Bim to Digital Twin,"O artigo discute a transição de métodos tradicionais para sistemas digitais na gestão do patrimônio cultural, destacando a importância da tecnologia BIM e Digital Twin.","BIM, Digital Twin",Global,2024
tecnologia,Evaluating the Impact of Digital Mapping and 3D Imaging Technologies on the Restoration of Historical Sites in Southeast Asia,"O uso de tecnologias de mapeamento digital e imagens 3D tem impacto positivo na restauração de locais históricos no Sudeste Asiático, permitindo uma melhor preservação e documentação dos mesmos.","Mapeamento digital, Tecnologias de imagem 3D.",Sudeste Asiático,2024
tecnologia,Digital Twins and Enabling Technologies in Museums and Cultural Heritage: An Overview,"O artigo destaca a importância dos ""gêmeos digitais"" e tecnologias habilitadoras para a preservação e divulgação do patrimônio cultural em museus, permitindo uma experiência imersiva e interativa para os visitantes.","Digital Twins, Realidade Aumentada, Internet das Coisas (IoT), Inteligência Artificial (IA)",Global,2023
tecnologia,Sounds of History: A Digital Twin Approach to Musical Heritage Preservation in Virtual Museums,"O artigo propõe uma abordagem inovadora de preservação do patrimônio musical por meio de gêmeos digitais em museus virtuais, permitindo uma experiência imersiva e interativa para os visitantes.","Digital Twin, Realidade Virtual, Inteligência Artificial, Processamento de Áudio.",Global,2024
tecnologia,From Web 1.0 to Web 4.0: The Digital Heritage Platforms for UNESCO’s Heritage Properties in Indonesia,"O artigo destaca a evolução das plataformas digitais para o patrimônio cultural da UNESCO na Indonésia, mostrando como a tecnologia tem sido utilizada para preservar e promover esses locais históricos.","Web 1.0, Web 4.0, IoT, Realidade Aumentada, IA",Indonésia,2020
tecnologia,Smart Heritage Buildings as a Tool to Achieve Tourism Competitiveness,"O artigo destaca que a preservação e uso de edifícios históricos inteligentes pode impulsionar a competitividade do turismo, ao atrair visitantes interessados na combinação de patrimônio cultural e tecnologia.","IoT, Realidade Aumentada, IA",Global,2020
tecnologia,Cultural Heritage Preservation by Using Blockchain Technologies,"O artigo destaca que a tecnologia blockchain pode ser uma ferramenta eficaz para preservar o patrimônio cultural, garantindo a autenticidade e a segurança das informações relacionadas a esses bens.",Blockchain,Global,2022
