Study_ID,Título,Etapa,Critério aplicado,Decisão,Justificativa,Timestamp
2W7LU7HB,"2022 International Conference on Interactive Media, Smart Systems and Emerging Technologies, IMET 2022 - Proceedings",,SEM TEXTO,Excluído,,2025-07-05 01:19:10
C7J48K92,"3D City modelling toward conservation and management. The digital documentation of museu do ipiranga - USP, San paulo, Brazil",,COM_PDF,Incluído,,2025-07-17 18:26:25
KAUGY7UM,"AVI-CH 2022 - Proceedings of the AVI-CH Workshop on Advanced Visual Interfaces and Interactions in Cultural Heritage, co-located with 2022 International Conference on Advanced Visual Interfaces, AVI 2022",,IRRELEVANTE,Excluído,,2025-07-06 20:06:28
V98ULYUY,Cultural Heritage and Internet of Things,,NO_PDF,Incluído,,2025-07-07 22:21:49
S9VTCP6L,Victoria Theatre virtual reality: A digital heritage case study and user experience design,,NO_PDF,Incluído,,2025-07-07 22:33:36
RWICPB2W,Intelligent Intangible Cultural Heritage Innovation Platform Under the Background of Big Data and Virtual Systems,,NO_PDF,Incluído,,2025-07-07 22:28:09
4TNULPBV,Study on the Protection and Product Development of Intangible Cultural Heritage with Computer Virtual Reality Technology,,NO_PDF,Incluído,,2025-07-07 22:30:45
HCVHEZPK,GCCE 2022 - 2022 IEEE 11th Global Conference on Consumer Electronics,,IRRELEVANTE,Excluído,,2025-07-06 19:53:03
CW9G9H7T,The Construction of Intelligent Education for Intangible Cultural Heritage into the Classroom,,IRRELEVANTE,Excluído,,2025-07-05 19:26:26
4GPJCS5N,Route Generator for Integrating Cultural Heritage to Smart City: Ontheroute,,NO_PDF,Incluído,,2025-07-07 22:29:41
NZIJ7YEJ,Virtual Heritage: A Guide,,COM_PDF,Incluído,,2025-07-17 18:31:57
DTTLSWD7,Adoption of Virtual Reality in Cultural Heritage and Museum Exhibition,,SEM TEXTO,Excluído,,2025-07-05 01:34:46
H9VQCNJG,Production of Iranian Architectural Assets for Representation in Museums: Theme of Museum-Based Digital Twin,,COM_PDF,Incluído,,2025-07-17 18:30:29
MUG49QRK,Immersive Architectural Legacies: The Construction of Meaning in Virtual Realities,,NO_PDF,Incluído,,2025-07-07 22:26:04
UIEN99CF,Concept and Practice of Traditional Garden Heritage Conservation: A Report of 2020 Asia-Pacific Region Historic Buildings Protection and Restoration Technologies Senior Talent Seminar,,SEM APLICACAO,Excluído,,2025-07-06 20:03:54
GSNDM24C,Application of the digital twin concept in cultural heritage,,NO_PDF,Incluído,,2025-07-17 18:27:19
BQ49CMSV,Virtual Reality for Industrial Heritage: The Thermal Power Plant of Aramon,,SEM TEXTO,Excluído,,2025-07-05 19:07:21
F6IGEB4V,Research on the Digital Protection Technology of Intangible Cultural Heritage Information under Computer Artificial Intelligence,,NO_PDF,Incluído,,2025-07-07 22:29:22
WE42LHL2,Studies on Intelligent Curation for the Korean Traditional Cultural Heritage,,NO_PDF,Incluído,,2025-07-07 22:30:37
VCKCFLKV,Cultural Master Plan Bamiyan (Afghanistan) – A Process Model for the Management of Cultural Landscapes Based on Remote-Sensing Data,,IRRELEVANTE,Excluído,,2025-07-06 20:01:42
JDST5W3Q,Historical sentient – Building information model: A digital twin for the management of museum collections in historical architectures,,COM_PDF,Incluído,,2025-07-17 18:29:39
EY3UDR42,Affectual dramaturgy for augmented reality immersive heritage performance,,SEM TEXTO,Excluído,,2025-07-05 01:35:09
T4PQMZLP,Data Construction of Smart Resources in Cultural Heritage Parks Based on GIS,,NO_PDF,Incluído,,2025-07-07 22:22:49
QFBM9FN8,"Innovative technologies in Revitalizing the Cultural Heritages in Smart Cities, Opportunities and Challenges",,NO_PDF,Incluído,,2025-07-07 22:27:32
TZGN9EYD,Digital Interactive Technology of Intangible Cultural Heritage Based on Virtual Reality Technology,,NO_PDF,Incluído,,2025-07-07 22:23:59
WCE3Z3SC,Supplementary Physical Device for In-Depth Augmented Reality Touring of Architectural Heritage Sites,,NO_PDF,Incluído,,2025-07-07 22:30:53
682TH4UY,Automatic Generation of Ancient Food Culture Image Series based on Virtual Imaging Algorithm and Design of Intangible Cultural Heritage Smart Platform,,IRRELEVANTE,Excluído,,2025-07-06 20:06:34
YETNTUY2,Virtual Reality as Learning Media for Lampung Historical Heritage,,NO_PDF,Incluído,,2025-07-07 22:34:08
73LYBWL2,Digital Modelling of Historical Buildings: The case of Kapodistrian Aegina,,IRRELEVANTE,Excluído,,2025-07-06 19:59:24
J4XUT4ZR,The role of augmented reality in revitalizing the tourist space of the built heritage via perception,,NO_PDF,Incluído,,2025-07-07 22:31:50
2SJ54SJV,A Deep Learning Approach to Protecting Cultural Heritage Buildings Through IoT-Based Systems,,SEM TEXTO,Excluído,,2025-07-05 01:23:45
T4PHFP36,"Transformative Heritage: Open Source, Insurgent Nationalism, and Augmented Memories",,NO_PDF,Incluído,,2025-07-07 22:32:42
RTSPVH7U,"The great ""auto de fe"" at santiago de los caballeros, or how to achieve historical empathy with cultural heritage through virtual reality",,COM_PDF,Incluído,,2025-07-17 18:31:11
LL8UR8T8,"8th European-Mediterranean Conference, EuroMed 2020",,SEM TEXTO,Excluído,,2025-07-05 01:18:48
ZZFUEH2F,From architectural survey to continuous monitoring: Graph-based data management for cultural heritage conservation with digital twins,,IRRELEVANTE,Excluído,,2025-07-06 19:53:58
8X88YAJB,A study on application method of virtual reality for preservation and utilization of intangible cultural properties,,SEM TEXTO,Excluído,,2025-07-05 01:30:47
F3MYQZBK,Natural interaction design for navigation in virtual environment of sino-portuguese architecture in museum,,COM_PDF,Incluído,,2025-07-17 18:30:23
Z4TFJ987,Research on Intangible Cultural Heritage Protection Based on Augmented Reality Technology,,COM_PDF,Incluído,,2025-07-17 18:30:31
6RWV2E8G,Augmented Reality at Heritage Sites: Technological Advances and Embodied Spatially Minded Interactions,,COM_PDF,Incluído,,2025-07-17 18:27:27
F7AISMSS,Intangible Heritage Protection Based on Virtual Reality Technology,,COM_PDF,Incluído,,2025-07-17 18:30:07
Z78882H4,V-Museum: A Virtual Museum Based on Augmented and Virtual Realities for Cultural Heritage Mediation,,NO_PDF,Incluído,,2025-07-07 22:33:17
7MQ6PF7I,"International Conference on Design Tools and Methods in Industrial Engineering, ADM 2019",,IRRELEVANTE,Excluído,,2025-07-06 19:47:01
GBIRBB7Z,Potential of hbim to improve the efficiency of visitor flow management in heritage sites. Towards smart heritage management,,COM_PDF,Incluído,,2025-07-17 18:30:27
54H64MJ6,Implications of the Use of Virtual Reality in Heritage Conservation,,NO_PDF,Incluído,,2025-07-07 22:26:45
TVB773VK,AI-Powered Federated Digital Twins for Enhanced Cultural Heritage Preservation and Predictive Analytics,,SEM TEXTO,Excluído,,2025-07-05 01:35:40
NC277JWQ,Adopting Mobile Augmented Reality as Cultural Heritage Souvenir: A Design Framework Exploration,,SEM TEXTO,Excluído,,2025-07-05 01:34:39
AALSRDS4,VR in Heritage Documentation: Using Microsimulation Modelling,,NO_PDF,Incluído,,2025-07-07 22:34:56
U8QPADD7,Quality Requirements for Implementing Augmented Reality in Heritage Spaces: Teachers' Perspective,,COM_PDF,Incluído,,2025-07-17 18:30:30
TKKH6IKG,Comprehensive systematic review on virtual reality for cultural heritage practices: coherent taxonomy and motivations,,NO_PDF,Incluído,,2025-07-07 22:21:09
KBLUEXTZ,Developing a mobile augmented reality application for cultural heritage,,COM_PDF,Incluído,,2025-07-17 18:29:09
QAHL3CT8,How the sustainable development goals challenge public management. Action research on the cultural heritage of an Italian smart city,,IRRELEVANTE,Excluído,,2025-07-06 19:51:52
9HEGSI9I,"Interdisciplinary Relationships, Influence, and Aspirations for Smart Heritage in Local Government",,COM_PDF,Incluído,,2025-07-17 18:30:13
L9MPQIZY,Varanasi—The Making of a Smart Heritage City,,COM_PDF,Incluído,,2025-07-17 18:31:56
5L5XHWRG,A Smart Heritage System to Re-Generate New Zealand’s 19th Century Timber Churches,,COM_PDF,Incluído,,2025-07-17 18:26:46
NQNSDSGV,Local Characters of Chinese Ethnic Settlements in Chinatown Area of Malang and Kembang Jepun Area of Surabaya,,IRRELEVANTE,Excluído,,2025-07-06 19:44:56
R9ISH86L,Smart Heritage as a Design Tool,,COM_PDF,Incluído,,2025-07-17 18:30:42
XJMTMXU5,Smart Architectural and Urban Heritage: An Applied Reflection,,SEM APLICACAO,Excluído,,2025-07-05 19:33:02
4CVHJ7T7,Smart Heritage in Local Government Strategic Documents,,NO_PDF,Incluído,,2025-07-07 22:30:09
7IP8NQZM,A Composite Index to Measure Smartness and Competitiveness of Heritage Tourism Destination and Historic Building,,SEM TECH SMART,Excluído,,2025-07-05 01:21:42
BC5MIAFN,Smart Heritage Buildings as a Tool to Achieve Tourism Competitiveness,,COM_PDF,Incluído,,2025-07-17 18:30:43
AHVX4DU2,مفرادات تراثیة ذکیة تحقق الاستدامة Smart Heritage Vocabularies Achieving Sustainability,,IDIOMA,Excluído,,2025-07-05 19:04:27
3FTA7UMI,Demystifying the Use of Open-Access Data in Smart Heritage Implementations,,COM_PDF,Incluído,,2025-07-17 18:29:02
V5JQZLTK,Dampak Media Sosial Instagram Pada Kawasan Smart Heritage Market Pasar Badung,,IRRELEVANTE,Excluído,,2025-07-06 20:01:31
KDI8VH3F,Technology as Enabling Interface Within Transition Spaces for the Smart Heritage,,COM_PDF,Incluído,,2025-07-17 18:30:58
9D8II9V3,Enablers and Challenges of Smart Heritage Implementation – The Case of Chinatown Melbourne,,IRRELEVANTE,Excluído,,2025-07-06 19:57:15
QBGPDN87,A State-of-the-Art Review and Bibliometric Analysis on the Smart Preservation of Heritages,,COM_PDF,Incluído,,2025-07-17 18:26:47
ATHGA8MH,Smart Heritage: Media for Realizing Cultural Heritage Conservation in the Smart City Era,,COM_PDF,Incluído,,2025-07-17 18:30:46
TE5BMV7Y,Research Status and Development Direction of Smart Heritage: A Bibliometric Review (1994-2024),,COM_PDF,Incluído,,2025-07-17 18:30:34
VKSKNQWY,HBIM Destekli Arşiv Modeli,,IRRELEVANTE,Excluído,,2025-07-06 19:52:25
R5GKNF9P,"Place Identity and Urban Uniqueness: Insights From the AlRusafa Area, Old Baghdad, Iraq",,SEM APLICACAO,Excluído,,2025-07-05 19:38:56
9WIA4V4T,The Socio-Technical System Framework for Maintaining the Smart Heritage of Chengdu’s Historical and Cultural Villages,,COM_PDF,Incluído,,2025-07-17 18:31:22
W6WEITMU,Potential of Hbim to Improve the Efficiency of Visitor Flow Management in Heritage Sites. Towards Smart Heritage Management,,COM_PDF,Incluído,,2025-07-17 18:30:26
ZWMNW7PT,"Unveiling Communication Strategies Through Public Space Signs: A Linguistic Landscape Study in Badung Smart Heritage Market, Bali-Indonesia",,SEM APLICACAO,Excluído,,2025-07-05 19:16:50
E8K5CHYJ,"Digital Twin for Xiegong’s Architectural Archaeological Research: A Case Study of Xuanluo Hall, Sichuan, China",,IRRELEVANTE,Excluído,,2025-07-06 19:58:48
MZTSZC7E,Virtual Tourism and Digital Heritage: An Analysis of VR/AR Technologies and Applications,,COM_PDF,Incluído,,2025-07-17 18:31:59
FYCAJFCL,"A Critical-Discursive Investigation of Smart Heritage Politics in China From Macro-Political, Meso-Institutional and Micro-User Perspectives",,SEM TEXTO,Excluído,,2025-07-05 01:23:20
K98Z9W2E,Stone Pavement Analysis Using Building Information Modeling,,IRRELEVANTE,Excluído,,2025-07-05 19:29:56
2T5KVJ5V,"Co-Creation of Narratives for “Minor” Sites of Cultural Heritage in Euro-Mediterranean Peri-Urban Areas: Conditions of a Small Temple on the East Coast of Attica, Greece",,SEM APLICACAO,Excluído,,2025-07-06 20:15:42
RZCD698H,"H-Bim Applications for Vernacular Architecture: A Historic Rural House Case Study in Bursa, Turkey",,IRRELEVANTE,Excluído,,2025-07-06 19:52:40
KEETY25M,Smart Heritage Preservation: Design and Implementation of an Internet of Things (IoT)-Enabled Image Information Management System for Yuan Dynasty Taoist Murals in Shanxi,,COM_PDF,Incluído,,2025-07-17 18:30:46
